SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
AAEC,2580,Appl Microeconomic Principles,,Agricultural and Applied Econ,,,,,,,
10752 0,A 3.0 - 3.0,M W,F 02:30 pm-03:20 pm,1011 0104,Athens,,,Smith,1,100,100
AAEC,3020E,Analytical Comp Tools Econ,,Agricultural and Applied Econ,,,,,,,
35025 0,A 3.0 - 3.0,,12:01 am-11:59 pm,TBA TBA,Online,,,,1,50,50
AAEC,3040,Agribusiness Marketing,,Agricultural and Applied Econ,,,,,,,
19533 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,4791 0601,Tifton,,,Campbell,1,15,15
24735 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,1011 0210,Athens,,,Campbell,1,67,67
28505 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,TBA TBA,Griffin,,,Campbell,1,10,10
AAEC,3100,Food and Fiber Marketing,,Agricultural and Applied Econ,,,,,,,
31212 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,1011 0210,Athens,,,Shonkwiler,1,67,67
AAEC,3400,Intro to Agricultural Policy,,Agricultural and Applied Econ,,,,,,,
10761 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,1011 0210,Athens,,,Russell,1,67,67
26609 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,4791 0601,Tifton,,,Russell,1,15,15
27601 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,TBA TBA,Griffin,,,Russell,1,5,5
AAEC,3580,Intermediate Econ Principles,,Agricultural and Applied Econ,,,,,,,
10813 0,A 4.0 - 4.0,M W,F 10:10 am-11:00 am,1011 0210,Athens,,,Kostandini,1,67,67
14358 0,A 4.0 - 4.0,M W,F 10:10 am-11:00 am,TBA TBA,Griffin,,,Kostandini,1,10,10
24729 0,A 4.0 - 4.0,M W,F 10:10 am-11:00 am,4791 0601,Tifton,,,Kostandini,1,10,10
AAEC,3580L,Intermed Econ Principles Lab,,Agricultural and Applied Econ,,,,,,,
10843 0,A 0.0 - 0.0,M W,11:15 am-12:05 pm,1011 0210,Athens,,,Kostandini,1,67,67
18084 0,A 0.0 - 0.0,M W,11:15 am-12:05 pm,TBA TBA,Griffin,,,Kostandini,1,10,10
24730 0,A 0.0 - 0.0,M W,11:15 am-12:05 pm,4791 0601,Tifton,,,Kostandini,1,10,10
AAEC,3690,Agribusiness Finance,,Agricultural and Applied Econ,,,,,,,
14464 0,A 4.0 - 4.0,M,03:35 pm-04:25 pm,1011 0210,Athens,,,Kostandini,1,67,67
0,A 4.0 - 4.0,M W,F 02:30 pm-03:20 pm,1011 0210,Athens,,,Kostandini,1,67,67
14479 0,A 4.0 - 4.0,M W,F 02:30 pm-03:20 pm,4791 0601,Tifton,,,Kostandini,1,10,10
0,A 4.0 - 4.0,M,03:35 pm-04:25 pm,4791 0601,Tifton,,,Kostandini,1,10,10
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
AAEC,3690,Agribusiness Finance,,Agricultural and Applied Econ,,,,,,,
28460 0,A 4.0 - 4.0,M,03:35 pm-04:25 pm,TBA TBA,Griffin,,,Kostandini,1,10,10
0,A 4.0 - 4.0,M W,F 02:30 pm-03:20 pm,TBA TBA,Griffin,,,Kostandini,1,10,10
